ID;LAT;LON;DEP;X;Y;Z;EX;EY;EZ;YR;MO;DY;HR;MI;SC;MAG;NCCP;NCCS;NCTP;NCTS;RCC;RCT;CID;;;ID_old;Date;MW;CCC
59;0;0;0;132;0;88;12;14;6;2014;5;20;3;6;38;0.66;;;;;;;;;;2.01405E+13;20.05.14;1.27;0.78
60;0;0;0;155;120;95;9;14;6;2014;5;23;7;53;58;0.69;;;;;;;;;;2.01405E+13;23.05.14;1.29;0.87
61;0;0;0;215;36;120;9;14;6;2014;5;25;1;6;8;0.73;;;;;;;;;;2.01405E+13;25.05.14;1.32;0.95
62;0;0;0;121;334;137;9;14;6;2014;5;25;18;6;26;1.26;;;;;;;;;;2.01405E+13;25.05.14;1.68;0.87
63;0;0;0;122;313;135;9;11;6;2014;5;25;18;7;41;0.88;;;;;;;;;;2.01405E+13;25.05.14;1.42;0.86
64;0;0;0;47;362;34;10;14;6;2014;5;26;1;29;48;0.39;;;;;;;;;;2.01405E+13;26.05.14;1.09;0.77
65;0;0;0;84;131;39;9;16;7;2014;5;27;10;3;39;1.04;;;;;;;;;;2.01405E+13;27.05.14;1.53;1
66;0;0;0;86;186;35;12;21;10;2014;5;28;7;39;35;0.83;;;;;;;;;;2.01405E+13;28.05.14;1.39;0.89
67;0;0;0;136;147;84;13;18;6;2014;5;28;16;14;53;0.56;;;;;;;;;;2.01405E+13;28.05.14;1.21;0.9
68;0;0;0;253;409;397;10;14;6;2014;5;30;3;8;35;1.12;;;;;;;;;;2.01405E+13;30.05.14;1.58;0.91
69;0;0;0;330;293;406;20;21;12;2014;5;30;6;0;33;0.36;;;;;;;;;;2.01405E+13;30.05.14;1.08;0.85
70;0;0;0;154;-40;114;9;14;6;2014;5;30;10;15;57;1.04;;;;;;;;;;2.01405E+13;30.05.14;1.53;0.96
71;0;0;0;121;55;72;9;14;6;2014;6;3;2;46;16;1.14;;;;;;;;;;2.01406E+13;03.06.14;1.59;0.81
72;0;0;0;156;-38;113;9;14;6;2014;6;7;3;53;14;1.73;;;;;;;;;;2.01406E+13;07.06.14;1.99;0.85
73;0;0;0;44;267;40;9;11;6;2014;6;9;21;0;54;0.6;;;;;;;;;;2.01406E+13;09.06.14;1.23;0.83
74;0;0;0;209;225;163;18;26;7;2014;6;11;19;46;6;0.5;;;;;;;;;;2.01406E+13;11.06.14;1.16;0.92
75;0;0;0;264;289;184;21;33;8;2014;6;11;19;59;17;0.26;;;;;;;;;;2.01406E+13;11.06.14;1.01;0.92
76;0;0;0;39;253;27;9;14;6;2014;6;13;20;31;40;1.22;;;;;;;;;;2.01406E+13;13.06.14;1.65;0.85
77;0;0;0;15;249;-22;12;28;13;2014;6;14;14;51;11;0.74;;;;;;;;;;2.01406E+13;14.06.14;1.33;0.95
78;0;0;0;-17;267;-35;18;23;9;2014;6;14;17;10;47;0.48;;;;;;;;;;2.01406E+13;14.06.14;1.15;0.96
79;0;0;0;-18;229;-59;9;14;6;2014;6;14;20;27;6;1.13;;;;;;;;;;2.01406E+13;14.06.14;1.58;1
